0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.1,0.8306623862918076
1.4,0.8000000000000002
2.0,0.6324555320336759
1.9,0.5385164807134505
1.8,0.7483314773547883
3.2,0.6
3.3,1.4866068747318506
4.7,1.5524174696260025
4.5,2.6172504656604803
6.8,3.1874754901018454
8.6,3.2924155266308657
10.1,2.5865034312755126
9.7,3.7696153649941526
9.6,2.4576411454889016
10.8,1.32664991614216
10.6,2.8000000000000003
12.8,1.9390719429665317
12.6,2.154065922853802
12.2,2.315167380558045
13.2,2.785677655436824
11.8,2.0396078054371136
13.5,2.5787593916455256
