3.0,6.15,8.74,11.64,13.24
3.0,5.87,8.34,11.53,12.96
2.9,5.38,7.48,9.84,10.14
3.0,3.83,4.34,4.24,0.82
2.82,1.04,0.84,0.01,0.0
